TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MWET3;16,99;;0,27;-0,71;0,15;16,20;7,43;50,42;1,82;4,46;3,13;;0,14;-2,64;-0,25;0,88;-266,14;54,32;170,36;-0,20;1,21;1,08;14,95;;2.674,50;-23,84;63,46;0,00;25.539.817,23
MWET4;10,12;;0,16;-0,42;0,09;16,20;7,43;50,42;1,08;4,46;3,13;;0,08;-1,57;-0,15;0,88;-266,14;54,32;170,36;-0,20;1,21;1,08;14,95;;35.717,00;-23,84;63,46;0,00;25.539.817,23
MYPK3;16,46;8,54;3,92;0,70;0,19;12,85;9,97;4,35;1,71;4,62;2,91;1,20;0,17;1,44;-0,38;1,34;17,95;4,77;11,76;0,27;0,71;1,09;14,96;97,43;23.571.709,72;23,40;4,20;-0,02;2.530.224.632,46
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;49,30;42,94;14,12;0,00;2,78;2,78;7,16;0,00;0,00;0,00;4,11;84,81;5,22;10,02;0,06;0,77;0,37;32,90;61,23;;40,28;34,16;0,00;0,00
NEMO5;52,97;4,71;1,55;1,32;0,08;49,30;42,94;14,12;0,51;2,78;2,78;7,16;0,22;0,38;-0,11;4,11;84,81;5,22;10,02;0,06;0,77;0,37;32,90;61,23;;40,28;34,16;0,00;0,00
NEMO6;0,00;;0,00;0,00;0,00;49,30;42,94;14,12;0,00;2,78;2,78;7,16;0,00;0,00;0,00;4,11;84,81;5,22;10,02;0,06;0,77;0,37;32,90;61,23;;40,28;34,16;0,00;0,00
NEOE3;17,51;4,58;5,15;0,85;0,24;26,36;19,37;9,24;2,45;6,37;3,92;1,36;0,48;5,55;-0,33;1,20;16,58;4,71;10,96;0,28;0,71;0,51;23,82;68,63;30.750.938,17;20,52;3,40;0,19;21.253.589.812,48
NGRD3;2,13;0,70;41,62;1,11;0,69;65,29;6,06;4,84;33,26;19,47;-13,79;-0,46;2,02;2,20;-1,32;2,88;2,67;1,65;1,55;0,62;0,38;0,34;;;2.828.017,90;1,92;0,05;-1,84;508.350.762,90
NINJ3;3,55;;-4,56;0,63;0,58;91,86;-91,35;-62,19;-3,10;1,95;5,05;-1,02;2,83;0,64;-23,95;14,53;-13,72;-12,80;-20,16;0,93;0,07;0,21;;;967.929,93;5,68;-0,78;-0,01;178.297.376,15
NORD3;11,38;;-9,56;-0,51;4,29;90,27;-33,10;-416,71;-120,37;-180,96;-60,59;;39,85;-1,63;-4,65;0,03;-5,32;-44,83;0,57;-8,43;9,43;0,11;;;7.820,33;-22,37;-1,19;-0,01;75.352.510,68
NRTQ3;0,00;;0,00;0,00;0,00;27,73;14,45;13,65;0,00;0,37;0,37;0,07;0,00;0,00;0,00;3,55;18,29;12,35;14,36;0,68;0,32;0,90;13,67;17,48;;16,00;2,93;0,00;0,00
NTCO3;16,61;0,79;40,96;0,96;0,44;65,01;2,19;1,44;26,92;35,53;8,60;0,31;0,59;49,49;-0,61;1,03;2,35;1,07;-0,57;0,46;0,54;0,75;38,39;13,55;179.750.174,69;17,25;0,41;0,01;22.937.534.520,12
NUTR3;250,00;;4,00;1,30;0,38;17,57;10,37;5,82;2,24;2,65;0,41;0,24;0,23;0,98;-1,14;2,38;32,40;9,47;34,63;0,29;0,71;1,63;33,43;;25.000,00;192,96;62,52;0,02;31.986.000,00
ODER4;857,15;0,15;79,77;24,62;12,05;30,80;21,34;17,71;66,19;67,20;1,01;0,38;14,12;34,80;-41,78;1,95;30,86;15,11;17,73;0,49;0,51;0,85;11,24;22,33;;34,82;10,75;-19,03;9.674.742.907,90
ODPV3;9,65;2,87;12,67;4,52;2,73;61,98;30,51;23,49;9,75;9,16;-0,60;-0,28;2,98;-206,59;-3,86;0,96;35,65;21,52;30,59;0,60;0,39;0,92;6,18;14,93;14.168.597,14;2,14;0,76;1,30;5.485.694.998,95
OFSA3;21,70;2,48;9,72;1,79;0,97;49,19;15,59;12,84;8,00;9,70;1,70;0,38;1,25;2,45;-2,33;3,13;18,44;10,01;13,16;0,54;0,46;0,78;14,66;;304.123,52;12,11;2,23;0,52;1.170.693.430,20
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;0,59;;-0,46;-5,39;0,05;5,33;-19,43;-81,23;-1,91;-16,62;-14,67;;0,37;0,19;-0,12;1,76;-1.177,93;-10,93;-12,63;-0,01;1,01;0,13;-16,61;;48.117.937,17;-0,11;-1,29;0,02;3.985.696.628,18
OIBR4;1,16;;-0,90;-10,59;0,10;5,33;-19,43;-81,23;-3,76;-16,62;-14,67;;0,73;0,38;-0,24;1,76;-1.177,93;-10,93;-12,63;-0,01;1,01;0,13;-16,61;;1.114.289,90;-0,11;-1,29;0,05;3.985.696.628,18
OMGE3;27,57;;17,56;1,34;0,45;30,64;61,55;16,27;4,64;8,72;4,08;1,18;2,86;9,80;-0,54;1,38;7,66;2,55;10,08;0,33;0,67;0,16;55,45;100,39;49.236.324,19;20,50;1,57;0,01;5.521.562.588,85
ONCO3;4,74;;-34,83;1,29;0,37;32,65;6,71;-2,33;12,08;17,02;4,94;0,53;0,81;1,86;-0,63;1,99;-3,69;-1,07;2,07;0,29;0,63;0,46;;;10.527.145,24;3,69;-0,14;0,68;2.347.995.607,02
OPCT3;2,16;;-11,87;0,56;0,19;16,79;2,66;-3,60;16,07;46,62;30,55;1,06;0,43;1,71;-0,27;1,63;-4,70;-1,62;0,30;0,34;0,66;0,45;;;2.766.105,14;3,87;-0,18;-0,23;431.912.636,64
ORVR3;30,78;;-61,83;6,56;1,81;41,31;25,83;-7,96;19,06;23,88;4,82;1,66;4,92;7,90;-2,99;2,36;-10,61;-2,92;8,45;0,28;0,71;0,37;;;14.726.511,90;4,69;-0,50;3,27;2.200.769.076,60
OSXB3;6,49;;0,17;0,00;0,01;90,26;2.749,78;404,29;0,02;5,87;5,85;;0,67;-0,03;-0,01;0,03;-2,24;5,49;-87,24;-2,45;3,46;0,01;89,07;;126.266,59;-1.737,60;38,91;0,00;20.430.766,62
PARD3;19,57;2,46;11,28;2,78;1,08;31,37;18,81;11,09;6,64;6,86;0,22;0,09;1,25;34,38;-1,64;1,10;24,66;9,57;23,69;0,39;0,61;0,86;17,16;17,20;4.035.163,79;7,04;1,74;0,27;2.563.251.104,15
PATI3;74,38;3,91;9,00;2,12;0,86;13,41;11,24;7,30;5,84;6,15;0,37;0,13;0,66;1,59;-6,48;2,66;23,52;9,55;12,12;0,41;0,59;1,31;31,30;67,99;29.752,00;35,14;8,27;0,65;1.762.557.215,62
PATI4;57,28;5,08;6,93;1,63;0,66;13,41;11,24;7,30;4,50;6,15;0,37;0,13;0,51;1,22;-4,99;2,66;23,52;9,55;12,12;0,41;0,59;1,31;31,30;67,99;19.834,29;35,14;8,27;0,50;1.762.557.215,62
PCAR3;19,94;1,78;2,57;0,38;0,12;25,18;3,15;4,27;3,49;6,56;3,07;0,33;0,11;3,94;-0,17;1,11;14,62;4,67;3,96;0,32;0,62;1,09;4,35;;48.308.954,66;53,01;7,75;-0,19;5.372.938.741,82
PCAR4;72,11;;9,31;1,36;0,43;25,18;3,15;4,27;12,63;6,56;3,07;0,33;0,40;14,26;-0,63;1,11;14,62;4,67;3,96;0,32;0,62;1,09;4,35;;;53,01;7,75;-0,67;5.372.938.741,82
PDGR3;1,22;;0,49;-0,01;0,06;20,38;-105,42;40,08;-0,19;-3,04;-2,85;;0,20;-0,03;-0,27;0,32;-2,73;11,41;17,50;-4,18;5,23;0,28;11,86;;930.017,38;-90,93;2,48;0,00;68.482.817,54
PDTC3;3,40;;28,52;2,16;0,63;34,25;14,48;2,67;5,26;5,96;0,70;0,29;0,76;1,83;-2,44;1,86;7,57;2,20;20,95;0,29;0,71;0,82;225,48;-38,34;331.627,38;1,58;0,12;-0,41;266.729.248,60
PEAB3;61,00;19,44;5,02;1,15;1,00;60,29;602,28;493,56;4,12;3,15;-1,44;-0,40;24,80;2,57;-1,74;10,78;22,98;19,83;19,51;0,86;0,14;0,04;-37,48;18,34;20.119,83;52,84;12,14;-0,07;873.818.904,00
PEAB4;75,00;17,39;6,18;1,42;1,22;60,29;602,28;493,56;5,06;3,15;-1,44;-0,40;30,49;3,16;-2,14;10,78;22,98;19,83;19,51;0,86;0,14;0,04;-37,48;18,34;26.079,10;52,84;12,14;-0,09;873.818.904,00
PETR3;33,40;34,57;2,90;1,00;0,44;49,27;47,69;29,53;1,80;2,51;0,78;0,44;0,86;6,29;-0,55;1,53;34,56;15,03;24,67;0,43;0,56;0,51;9,88;;584.720.654,38;33,29;11,50;0,02;417.479.558.401,00
PETR4;30,15;38,30;2,62;0,91;0,39;49,27;47,69;29,53;1,62;2,51;0,78;0,44;0,77;5,68;-0,49;1,53;34,56;15,03;24,67;0,43;0,56;0,51;9,88;;2.656.678.742,69;33,29;11,50;0,02;417.479.558.401,00
PETZ3;11,90;0,38;78,47;3,09;1,60;48,38;6,98;3,06;34,43;32,37;-2,06;-0,19;2,41;8,95;-2,53;1,95;3,94;2,04;6,96;0,52;0,48;0,66;;;146.024.438,86;3,85;0,15;2,03;5.473.288.320,50
PFRM3;3,50;7,73;6,87;0,39;0,10;14,13;2,03;0,95;3,21;7,50;4,29;0,53;0,07;0,53;-0,30;1,36;5,74;1,40;4,96;0,24;0,68;1,48;9,44;;485.764,14;8,87;0,51;1,60;433.344.705,50
PGMN3;5,82;;17,97;1,22;0,40;32,06;4,62;1,86;7,23;8,89;1,66;0,28;0,33;2,19;-0,83;1,54;6,81;2,22;10,72;0,33;0,67;1,19;6,32;28,07;6.703.085,72;4,76;0,32;1,85;2.582.805.780,84
PINE3;0,00;;0,00;0,00;0,00;13,35;0,73;0,86;0,00;13,58;;;0,00;0,00;0,00;0,58;1,21;0,06;;0,05;0,95;0,07;9,53;;;4,18;0,05;0,00;108.025.793,04
PINE4;1,22;;24,20;0,29;0,01;13,35;0,73;0,86;28,60;13,58;;;0,21;-0,08;-0,02;0,58;1,21;0,06;;0,05;0,95;0,07;9,53;;223.147,48;4,18;0,05;-0,21;108.025.793,04
PLAS3;7,77;;-0,75;-0,29;0,14;8,56;-5,25;-19,32;-2,77;-10,37;-7,60;;0,15;-0,29;-0,19;0,37;-38,65;-18,06;58,66;-0,47;1,47;0,93;11,76;;5.073,00;-26,68;-10,31;-0,03;96.545.497,86
PLPL3;2,37;6,80;4,52;1,46;0,35;29,70;10,76;8,40;3,53;4,52;0,99;0,41;0,38;0,50;-3,22;4,90;32,25;7,78;14,56;0,24;0,76;0,93;;;1.591.611,34;1,63;0,52;-0,13;484.086.720,00
PMAM3;6,57;;-1,24;-0,37;0,10;0,88;-7,29;-5,43;-0,93;-9,77;-8,85;;0,07;-1,67;-0,14;0,84;-29,88;-7,97;-15,92;-0,27;1,27;1,47;0,55;;656.804,93;-17,67;-5,28;0,02;285.163.287,93
PNVL3;10,55;1,65;19,89;1,49;0,64;30,55;3,03;2,36;15,51;21,65;6,14;0,59;0,47;2,79;-1,52;1,65;7,47;3,21;5,25;0,43;0,57;1,36;8,67;8,49;7.289.188,62;7,10;0,53;0,69;1.586.482.424,55
PNVL4;18,62;0,21;35,11;2,62;1,13;30,55;3,03;2,36;27,38;21,65;6,14;0,59;0,83;4,93;-2,68;1,65;7,47;3,21;5,25;0,43;0,57;1,36;8,67;8,49;83.188,67;7,10;0,53;1,22;1.586.482.424,55
POMO3;2,30;4,65;4,54;0,75;0,33;10,16;7,05;13,23;8,53;14,07;4,42;0,39;0,60;1,40;-0,69;1,79;16,41;7,16;3,73;0,44;0,56;0,54;6,33;16,92;391.949,28;3,08;0,51;0,01;2.462.329.183,46
POMO4;2,77;3,86;5,47;0,90;0,39;10,16;7,05;13,23;10,27;14,07;4,42;0,39;0,72;1,69;-0,83;1,79;16,41;7,16;3,73;0,44;0,56;0,54;6,33;16,92;10.860.264,69;3,08;0,51;0,01;2.462.329.183,46
PORT3;8,63;5,18;11,50;1,71;0,72;43,22;24,93;15,28;7,05;10,96;3,92;0,95;1,76;26,15;-0,85;1,20;14,84;6,22;9,52;0,42;0,58;0,41;6,17;2,45;7.736.973,17;5,06;0,75;0,13;3.796.929.018,00
POSI3;7,36;4,62;6,02;0,95;0,25;21,95;10,11;4,66;2,77;4,51;1,73;0,59;0,28;0,73;-1,64;1,69;15,74;4,18;15,56;0,27;0,73;0,90;14,02;81,35;18.318.456,97;7,77;1,22;-0,21;1.043.648.000,00
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;5.388.846,38;11,02;0,46;-1,77;977.237.930,40
PPAR3;14,60;;1,22;0,02;0,02;;;;1,57;-3,05;-4,62;-0,06;;0,33;-0,02;150,59;1,75;1,25;1,36;0,71;0,29;0,00;;-9,58;;681,74;11,93;0,00;1.080.400,00
PPLA11;5,46;;1.024,54;1.397,10;15,79;;;;1.024,54;1.024,54;;;;-15,98;-15,79;0,00;136,36;1,54;;0,01;0,99;0,00;;-83,09;20.171,39;0,00;0,01;-10,13;15.368.076,36
PRIO3;27,11;;9,70;3,56;1,86;59,99;52,28;46,82;8,68;8,45;-0,23;-0,09;4,54;4,06;-3,95;7,52;36,71;19,19;23,73;0,52;0,48;0,41;61,68;59,16;446.987.310,38;7,62;2,80;0,02;23.928.543.497,35
PRNR3;6,07;1,54;11,58;1,01;0,58;17,47;6,33;4,21;7,71;8,03;0,33;0,04;0,49;2,75;-1,20;1,68;8,70;4,97;8,24;0,57;0,43;1,18;16,24;26,61;909.555,59;6,03;0,52;-0,03;236.173.119,99
PSSA3;19,16;7,39;8,70;1,33;0,29;100,00;4,66;6,40;11,93;3,06;-8,87;-0,99;0,56;5,62;-0,84;1,09;15,32;3,35;10,76;0,22;0,78;0,52;5,64;9,25;31.663.029,55;14,38;2,20;-0,46;12.388.588.909,60
PTBL3;7,82;9,31;5,17;2,70;0,53;43,90;15,91;10,56;3,43;5,00;1,57;1,24;0,55;3,75;-1,01;1,42;52,24;10,24;26,60;0,20;0,80;0,97;13,47;151,40;4.984.985,79;2,90;1,51;0,12;1.102.517.448,52
PTCA11;0,00;;0,00;0,00;0,00;43,59;15,66;10,44;0,00;1,56;1,56;0,72;0,00;0,00;0,00;1,80;30,70;11,25;18,98;0,37;0,63;1,08;25,03;37,87;;17,59;5,40;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;43,59;15,66;10,44;0,00;1,56;1,56;0,72;0,00;0,00;0,00;1,80;30,70;11,25;18,98;0,37;0,63;1,08;25,03;37,87;;17,59;5,40;0,00;0,00
PTNT3;13,10;1,55;8,07;1,93;0,85;16,20;11,74;9,31;6,40;5,18;1,34;0,40;0,75;3,58;-1,82;1,82;23,88;10,58;13,07;0,44;0,47;1,14;8,13;50,78;39.563,62;6,80;1,62;0,04;377.976.915,40
PTNT4;5,25;3,86;3,23;0,77;0,34;16,20;11,74;9,31;2,57;5,18;1,34;0,40;0,30;1,43;-0,73;1,82;23,88;10,58;13,07;0,44;0,47;1,14;8,13;50,78;90.802,45;6,80;1,62;0,02;377.976.915,40
QUAL3;11,37;2,79;9,92;2,40;0,73;79,79;29,18;15,68;5,33;7,55;2,22;1,00;1,56;-2,47;-1,01;0,48;24,23;7,39;13,29;0,31;0,69;0,47;1,31;-4,27;34.140.190,45;4,73;1,15;-0,39;3.229.242.875,25
QUSW3;0,00;;0,00;0,00;0,00;28,50;11,48;4,33;0,00;2,35;2,35;0,76;0,00;0,00;0,00;1,15;12,16;3,29;11,46;0,27;0,73;0,76;16,77;74,45;;67,12;8,16;0,00;0,00
QVQP3B;0,00;;0,00;0,00;0,00;;;;0,00;0,48;0,48;-0,94;;0,00;;;-190,74;-190,74;-198,15;1,00;0,00;0,00;;;;0,00;0,00;0,00;0,00
RADL3;20,84;1,13;47,93;7,25;2,22;29,89;5,28;2,87;26,00;27,28;1,29;0,36;1,37;13,25;-4,88;1,44;15,12;4,62;16,86;0,31;0,69;1,61;16,47;9,92;161.130.914,41;2,88;0,43;1,40;34.426.221.200,00
RAIL3;17,96;0,11;-376,96;2,26;0,74;27,76;20,17;-1,12;20,90;27,60;6,70;0,73;4,22;7,58;-0,94;1,87;-0,60;-0,20;4,90;0,33;0,67;0,18;11,53;;197.534.636,14;7,93;-0,05;3,37;33.300.691.886,36
RAIZ4;5,40;1,22;17,75;2,51;0,56;6,12;3,23;1,65;9,06;13,02;3,96;1,10;0,29;8,43;-1,05;1,16;14,15;3,14;9,49;0,22;0,78;1,91;;;94.940.099,66;2,15;0,30;0,08;55.903.551.213,60
RANI3;6,98;8,79;5,26;1,69;0,74;42,39;30,26;20,56;3,57;4,53;0,95;0,45;1,08;3,18;-1,15;2,93;32,23;14,12;20,35;0,44;0,56;0,69;15,63;;9.964.835,90;4,12;1,33;0,03;1.791.907.240,30
RANI4;5,50;;4,14;1,34;0,59;42,39;30,26;20,56;2,81;4,53;0,95;0,45;0,85;2,50;-0,91;2,93;32,23;14,12;20,35;0,44;0,56;0,69;15,63;;;4,12;1,33;0,03;1.791.907.240,30
RAPT3;8,81;7,31;4,18;1,11;0,26;24,95;11,93;7,21;2,53;5,32;2,57;1,12;0,30;0,91;-0,71;1,83;26,43;6,24;12,66;0,24;0,70;0,87;28,12;;186.255,45;7,97;2,11;-0,33;3.154.651.852,87
RAPT4;10,00;6,44;4,75;1,25;0,30;24,95;11,93;7,21;2,87;5,32;2,57;1,12;0,34;1,03;-0,80;1,83;26,43;6,24;12,66;0,24;0,70;0,87;28,12;;22.913.622,76;7,97;2,11;-0,37;3.154.651.852,87
RCSL3;2,70;;-125,29;-5,55;3,21;12,93;2,35;-2,46;131,49;68,58;-0,41;;3,09;40,24;-5,85;1,21;-4,43;-2,56;-4,07;-0,58;1,58;1,04;;;3.595.848,24;-0,49;-0,02;0,00;107.423.271,48
RCSL4;0,77;;-35,73;-1,58;0,91;12,93;2,35;-2,46;37,50;68,58;-0,41;;0,88;11,48;-1,67;1,21;-4,43;-2,56;-4,07;-0,58;1,58;1,04;;;241.974,41;-0,49;-0,02;0,00;107.423.271,48
RDNI3;7,86;0,73;43,86;0,55;0,18;24,49;5,05;1,52;13,18;30,99;17,82;0,74;0,67;0,89;-0,31;1,82;1,25;0,40;0,99;0,32;0,67;0,26;4,17;;96.849,28;14,30;0,18;-1,40;344.030.690,88
RDOR3;34,41;3,93;48,94;5,09;1,34;22,42;17,10;6,72;19,23;23,36;4,13;1,09;3,29;4,93;-2,25;3,07;10,40;2,74;8,15;0,26;0,71;0,41;;;150.070.613,07;6,76;0,70;0,47;69.176.733.803,55
RECV3;26,88;0,61;11,29;3,20;1,32;43,36;37,30;39,49;11,96;11,79;-0,16;-0,04;4,46;-24,82;-1,73;0,81;28,37;11,72;13,59;0,41;0,59;0,30;;;35.674.103,41;8,39;2,38;;6.681.832.765,44
REDE3;6,00;13,70;7,78;3,02;0,51;26,48;21,17;10,01;3,68;6,08;2,40;1,97;0,78;5,39;-0,72;1,47;38,90;6,55;17,76;0,17;0,77;0,65;15,06;59,11;19.298,48;1,98;0,77;0,19;12.661.940.244,00
RENT3;53,14;1,42;19,39;5,02;1,51;45,36;32,06;19,22;11,62;13,97;2,35;1,01;3,73;10,97;-2,14;1,87;25,87;7,78;11,88;0,30;0,70;0,40;19,68;38,41;358.625.375,38;10,60;2,74;0,32;40.304.918.843,80
RLOG3;23,08;;82,76;4,26;0,23;34,71;29,67;1,85;5,17;12,09;6,92;5,71;1,53;1,49;-0,31;2,64;5,15;0,28;5,46;0,05;0,71;0,15;50,58;4,37;;5,41;0,28;-2,42;10.691.215.482,28
RNEW11;4,72;;-31,92;-0,24;0,08;5,64;298,74;-5,26;0,56;3,94;3,38;;1,68;-1,75;-0,11;0,85;-0,75;-0,24;58,90;-0,33;1,33;0,05;-27,95;;103.070,66;-19,77;-0,15;0,29;172.248.608,85
RNEW3;1,80;;-36,52;-0,27;0,09;5,64;298,74;-5,26;0,64;3,94;3,38;;1,92;-2,00;-0,12;0,85;-0,75;-0,24;58,90;-0,33;1,33;0,05;-27,95;;103.018,31;-6,59;-0,05;0,33;172.248.608,85
RNEW4;1,46;;-29,62;-0,22;0,07;5,64;298,74;-5,26;0,52;3,94;3,38;;1,56;-1,62;-0,10;0,85;-0,75;-0,24;58,90;-0,33;1,33;0,05;-27,95;;641.043,28;-6,59;-0,05;0,26;172.248.608,85
ROMI3;13,54;6,62;4,65;1,05;0,52;31,59;14,85;14,76;4,62;6,60;1,98;0,45;0,69;1,70;-1,28;2,03;22,50;11,10;13,28;0,49;0,51;0,75;18,71;;5.490.031,00;12,94;2,91;0,12;992.941.303,88
RPAD3;6,48;;27,96;0,53;0,53;;;;32,48;31,71;-3,79;-0,06;;8,94;-0,56;19,84;1,89;1,88;1,61;1,00;0,00;0,00;;-17,32;5.139,50;12,28;0,23;-0,98;599.786.343,96
RPAD5;7,80;7,22;33,66;0,64;0,63;;;;39,09;31,71;-3,79;-0,06;;10,76;-0,67;19,84;1,89;1,88;1,61;1,00;0,00;0,00;;-17,32;6.663,00;12,28;0,23;-1,17;599.786.343,96
RPAD6;4,75;;20,50;0,39;0,39;;;;23,81;31,71;-3,79;-0,06;;6,55;-0,41;19,84;1,89;1,88;1,61;1,00;0,00;0,00;;-17,32;2.025,00;12,28;0,23;-0,71;599.786.343,96
RPMG3;2,30;;-0,31;-0,04;0,03;-6,00;-15,02;-18,13;-0,38;-0,38;0,00;;0,06;-0,05;-0,53;0,56;-13,41;-10,72;11,10;-0,80;1,80;0,59;25,45;;27.190,79;-54,68;-7,33;-0,01;155.690.746,70
RRRP3;45,98;;-37,40;2,45;1,78;57,20;50,77;-25,67;18,91;15,74;-3,17;-0,41;9,60;7,82;-2,82;2,62;-6,55;-4,76;12,32;0,73;0,27;0,19;;;148.383.437,45;18,76;-1,23;3,93;9.315.229.726,44
RSID3;2,18;;-0,15;-0,05;0,05;-196,81;-1.641,88;-1.303,60;-0,12;-1,66;-1,55;;1,90;-0,04;-0,09;0,31;-36,36;-32,83;177,44;-0,90;1,90;0,03;-35,64;;808.253,59;-41,13;-14,96;0,00;43.600.000,00
RSUL3;0,00;;0,00;0,00;0,00;35,81;23,76;15,98;0,00;1,97;-0,09;-0,08;0,00;0,00;0,00;1,67;59,33;18,29;61,76;0,31;0,69;1,14;24,27;;;15,81;9,38;0,00;167.208.000,00
RSUL4;69,67;2,86;7,43;4,41;1,36;35,81;23,76;15,98;5,00;1,97;-0,09;-0,08;1,19;7,10;-2,61;1,67;59,33;18,29;61,76;0,31;0,69;1,14;24,27;;217.070,96;15,81;9,38;0,15;167.208.000,00
SANB11;31,70;9,60;8,06;1,12;0,13;34,30;22,14;14,81;5,39;5,39;;;1,19;;-0,13;;13,91;1,55;;0,11;0,89;0,10;0,22;14,98;81.223.882,38;28,27;3,93;2,24;118.851.717.158,35
SANB3;15,14;9,57;7,70;1,07;0,12;34,30;22,14;14,81;5,15;5,39;;;1,14;;-0,12;;13,91;1,55;;0,11;0,89;0,10;0,22;14,98;673.497,28;14,13;1,97;2,14;118.851.717.158,35
SANB4;16,50;9,66;8,39;1,17;0,13;34,30;22,14;14,81;5,61;5,39;;;1,24;;-0,13;;13,91;1,55;;0,11;0,89;0,10;0,22;14,98;947.945,41;14,13;1,97;2,33;118.851.717.158,35
SAPR11;19,50;5,90;4,82;0,73;0,38;59,89;36,04;22,71;3,04;4,66;1,62;0,39;1,09;4,45;-0,46;1,94;15,07;7,83;11,65;0,52;0,48;0,34;8,40;14,30;22.100.892,79;26,86;4,05;0,20;5.893.701.524,10
SAPR3;3,81;5,59;4,71;0,71;0,37;59,89;36,04;22,71;2,97;4,66;1,62;0,39;1,07;4,34;-0,45;1,94;15,07;7,83;11,65;0,52;0,48;0,34;8,40;14,30;837.559,38;5,37;0,81;0,20;5.893.701.524,10
SAPR4;3,92;5,98;4,84;0,73;0,38;59,89;36,04;22,71;3,05;4,66;1,62;0,39;1,10;4,47;-0,46;1,94;15,07;7,83;11,65;0,52;0,48;0,34;8,40;14,30;6.910.860,79;5,37;0,81;0,20;5.893.701.524,10
SBFG3;23,38;0,50;10,30;2,69;0,81;46,52;9,48;9,78;10,62;14,16;3,54;0,89;1,01;3,74;-1,56;1,80;26,09;7,83;7,24;0,30;0,70;0,80;22,57;;24.621.747,28;8,70;2,27;-0,02;5.681.293.754,36
SBSP3;44,38;2,12;10,89;1,17;0,56;34,63;20,96;14,15;7,35;10,80;3,45;0,55;1,54;16,99;-0,64;1,34;10,75;5,15;6,93;0,48;0,52;0,36;6,69;-1,13;179.250.980,00;37,90;4,07;0,35;30.334.167.986,22
SCAR3;31,51;0,46;-354,78;1,17;0,52;79,39;49,55;-1,85;13,24;26,16;12,92;1,14;6,56;-6,63;-0,57;0,49;-0,33;-0,15;3,46;0,45;0,55;0,08;-8,54;;132.001,03;26,87;-0,09;3,37;1.819.302.921,69
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;7,52;1,64;236,32;0,67;0,29;53,42;10,65;0,28;6,14;8,66;2,52;0,28;0,65;19,89;-0,36;1,09;0,28;0,12;7,66;0,43;0,57;0,44;4,57;-55,34;3.471.177,72;11,22;0,03;-2,42;967.986.131,20
SEQL3;7,84;;-37,74;1,92;0,56;17,82;3,35;-1,77;19,95;29,18;9,23;0,89;0,67;7,68;-0,82;1,29;-5,08;-1,48;4,01;0,29;0,71;0,84;;;24.475.222,03;4,09;-0,21;-0,02;1.096.806.772,32
SGPS3;2,69;;-0,71;0,15;0,04;34,44;5,77;-11,39;1,40;9,57;8,18;0,87;0,08;0,46;-0,08;1,28;-20,92;-6,26;5,09;0,30;0,70;0,55;-5,73;;357.678,10;18,20;-3,81;-0,02;134.500.000,00
SHOW3;3,55;;-5,12;1,73;0,42;18,76;-13,68;-22,62;-8,46;-6,64;1,82;-0,37;1,16;3,24;-1,19;1,25;-33,89;-8,26;-10,78;0,24;0,75;0,37;-47,60;;971.700,59;2,05;-0,69;0,09;239.314.832,95
SHUL3;111,89;0,17;196,50;42,53;18,44;22,21;14,47;11,45;155,44;71,63;1,66;0,45;22,49;43,14;-51,86;2,97;21,64;9,38;13,79;0,43;0,57;0,82;24,09;46,02;62.944,50;2,63;0,57;6,05;18.001.768.795,64
