CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.01;Receitas de Prestação de Serviços;0.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.02;Despesas de Pessoal;-443328.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.02;Despesas de Pessoal;-145120.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.03;Outras Despesas Administrativas;-1389949.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.03;Outras Despesas Administrativas;-468440.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.03.01;Depreciação e Amortização;-94250.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.03.01;Depreciação e Amortização;-36478.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.03.02;Outras Receitas (Despesas) Administrativas;-1295699.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.03.02;Outras Receitas (Despesas) Administrativas;-431962.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.04;Despesas Tributárias;0.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.04;Despesas Tributárias;0.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.05;Outras Receitas Operacionais;887365.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.05;Outras Receitas Operacionais;471415.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.05.01;Resultado de Títulos e Valores Mobiliários;745613.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.05.01;Resultado de Títulos e Valores Mobiliários;348013.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.05.02;Resultado de Instrumentos Financeiros Derivativos;-48330.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.05.02;Resultado de Instrumentos Financeiros Derivativos;11009.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.05.03;Outras Receitas;190082.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.05.03;Outras Receitas;112393.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.06;Outras Despesas Operacionais;-595581.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.06;Outras Despesas Operacionais;-312946.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.06.01;Resultado de Perdas por Redução ao Valor Recuperável de Ativos Financeiros;-595581.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.06.01;Resultado de Perdas por Redução ao Valor Recuperável de Ativos Financeiros;-312946.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.07;Resultado da Equivalência Patrimonial;-8764.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.07;Resultado da Equivalência Patrimonial;-5572.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.07.01;Resultado de participações em coligadas;-8764.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04.07.01;Resultado de participações em coligadas;-5572.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.05;Resultado Antes dos Tributos sobre o Lucro;-215799.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.05;Resultado Antes dos Tributos sobre o Lucro;-98571.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;177449.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;71273.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.06.01;Corrente;-50985.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.06.01;Corrente;-33212.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.06.02;Diferido;228434.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.06.02;Diferido;104485.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.07;Resultado Líquido das Operações Continuadas;-38350.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.07;Resultado Líquido das Operações Continuadas;-27298.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.08;Resultado Líquido das Operações Descontinuadas;0.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.08.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.08.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.08.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.08.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.09;Lucro/Prejuízo Consolidado do Período;-38350.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.09;Lucro/Prejuízo Consolidado do Período;-27298.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.09.01;Atribuído a Sócios da Empresa Controladora;-72663.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.09.01;Atribuído a Sócios da Empresa Controladora;-37767.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.09.02;Atribuído a Sócios Não Controladores;17597.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.09.02;Atribuído a Sócios Não Controladores;10469.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.99;Lucro por Ação - (R$ / Ação);-0.0143000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.99;Lucro por Ação - (R$ / Ação);-0.0106000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.99.01;Lucro Básico por Ação;-0.0143000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.99.01;Lucro Básico por Ação;-0.0106000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.99.01.01;PN;-0.0143000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.99.01.01;PN;-0.0106000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.99.02;Lucro Diluído por Ação;-0.0143000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.99.02;Lucro Diluído por Ação;-0.0106000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.99.02.01;PN;-0.0143000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.99.02.01;PN;-0.0106000000;N
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.01;Receita de Venda de Bens e/ou Serviços;1085455.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.01;Receita de Venda de Bens e/ou Serviços;1449073.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-478360.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-693741.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.02.01;Custo das vendas e serviços;-655544.0000000000;N
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.02.01;Custo das vendas e serviços;-729271.0000000000;N
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.02.02;Variação do valor justo de ativos biológicos;177184.0000000000;N
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.02.02;Variação do valor justo de ativos biológicos;35530.0000000000;N
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.03;Resultado Bruto;607095.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.03;Resultado Bruto;755332.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.04;Despesas/Receitas Operacionais;-87387.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.04;Despesas/Receitas Operacionais;-3388.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.04.01;Despesas com Vendas;-103522.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.04.01;Despesas com Vendas;-99262.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.04.02;Despesas Gerais e Administrativas;-72721.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.04.02;Despesas Gerais e Administrativas;-100864.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;-7668.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;7643.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.04.04;Outras Receitas Operacionais;93361.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.04.04;Outras Receitas Operacionais;181563.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.04.05;Outras Despesas Operacionais;-7963.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.04.05;Outras Despesas Operacionais;-8922.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.04.06;Resultado de Equivalência Patrimonial;11126.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.04.06;Resultado de Equivalência Patrimonial;16454.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;519708.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;751944.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.06;Resultado Financeiro;-306899.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.06;Resultado Financeiro;-298303.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.06.01;Receitas Financeiras;410887.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.06.01;Receitas Financeiras;680154.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.06.02;Despesas Financeiras;-717786.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.06.02;Despesas Financeiras;-978457.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;212809.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;453641.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-42894.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-65734.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.08.01;Corrente;-3061.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.08.01;Corrente;-4097.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-03-31;2021-03-31;3.08.02;Diferido;-39833.0000000000;S
02.635.522/0001-95;2022-03-31;3;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2022-03-31;3.08.02;Diferido;-61637.0000000000;S
